filename,Object,DATE,UT,JD,EXPTIME,Cam,HWPANG,FILTER,FWHM [pix],Aperture size [pix],Flux [e],eFlux [e],Sky [e],std_Sky [e],Ann [pix],Dan [pix],"Cen (y,x)"
pSQ20241016_000036_Cam1.fits,C2023A3_r,2024-10-16,09:38:54.69,2460599.902021875,30.0,1,0.0,R,62.5,125.0,283416.6,708.0,2.9,0.2,300,200,"(632, 860)"
pSQ20241016_000036_Cam2.fits,C2023A3_r,2024-10-16,09:38:54.69,2460599.902021875,30.0,2,0.0,R,55.2,110.5,280729.0,652.3,2.2,0.7,300,200,"(536, 576)"
pSQ20241016_000036_Cam3.fits,C2023A3_r,2024-10-16,09:38:54.69,2460599.902021875,30.0,3,0.0,R,58.1,116.1,366362.5,749.0,3.0,0.2,300,200,"(727, 864)"
pSQ20241016_000036_Cam4.fits,C2023A3_r,2024-10-16,09:38:54.69,2460599.902021875,30.0,4,0.0,R,63.1,126.3,223278.8,638.4,2.1,0.4,300,200,"(831, 843)"
pSQ20241016_000037_Cam1.fits,C2023A3_r,2024-10-16,09:39:38.57,2460599.9025297454,30.0,1,45.0,R,58.5,117.1,367843.4,741.5,2.6,0.3,300,200,"(633, 837)"
pSQ20241016_000037_Cam2.fits,C2023A3_r,2024-10-16,09:39:38.57,2460599.9025297454,30.0,2,45.0,R,53.2,106.3,187852.3,561.6,2.0,0.7,300,200,"(538, 554)"
pSQ20241016_000037_Cam3.fits,C2023A3_r,2024-10-16,09:39:38.57,2460599.9025297454,30.0,3,45.0,R,55.9,111.9,269848.3,657.2,2.5,0.2,300,200,"(727, 842)"
pSQ20241016_000037_Cam4.fits,C2023A3_r,2024-10-16,09:39:38.57,2460599.9025297454,30.0,4,45.0,R,60.0,120.0,273420.3,664.3,2.1,0.3,300,200,"(832, 820)"
pSQ20241016_000038_Cam1.fits,C2023A3_r,2024-10-16,09:40:21.22,2460599.90302338,30.0,1,0.0,R,59.7,119.4,212490.2,636.3,2.7,0.3,300,200,"(635, 814)"
pSQ20241016_000038_Cam2.fits,C2023A3_r,2024-10-16,09:40:21.22,2460599.90302338,30.0,2,0.0,R,52.9,105.8,211127.6,582.9,2.1,0.2,300,200,"(542, 529)"
pSQ20241016_000038_Cam3.fits,C2023A3_r,2024-10-16,09:40:21.22,2460599.90302338,30.0,3,0.0,R,55.4,110.9,276830.3,669.3,2.8,0.2,300,200,"(727, 817)"
pSQ20241016_000038_Cam4.fits,C2023A3_r,2024-10-16,09:40:21.22,2460599.90302338,30.0,4,0.0,R,60.8,121.5,168259.5,578.1,2.0,0.3,300,200,"(834, 796)"
pSQ20241016_000039_Cam1.fits,C2023A3_r,2024-10-16,09:41:03.84,2460599.9035166665,30.0,1,45.0,R,59.3,118.7,242273.1,658.3,2.7,0.3,300,200,"(636, 793)"
pSQ20241016_000039_Cam2.fits,C2023A3_r,2024-10-16,09:41:03.84,2460599.9035166665,30.0,2,45.0,R,53.6,107.3,123940.0,506.8,2.1,0.2,300,200,"(544, 509)"
pSQ20241016_000039_Cam3.fits,C2023A3_r,2024-10-16,09:41:03.84,2460599.9035166665,30.0,3,45.0,R,57.4,114.9,181899.0,598.4,2.7,0.2,300,200,"(726, 797)"
pSQ20241016_000039_Cam4.fits,C2023A3_r,2024-10-16,09:41:03.84,2460599.9035166665,30.0,4,45.0,R,60.8,121.6,181090.0,597.3,2.2,0.2,300,200,"(835, 776)"
